Country,LandArea,Population,Energy,Rural,Military,Health,HIV,Internet,Developed,BirthRate,ElderlyPop,LifeExpectancy
Afghanistan,652230,29021099,,76.0,4.4,3.7,,1.7,,46.5,2.2,43.9
Albania,27400,3143291,2088,53.3,,8.2,,23.9,1,14.6,9.3,76.6
Algeria,2381740,34373426,37069,34.8,13,10.6,0.1,10.2,1,20.8,4.6,72.4
American Samoa,200,66107,,7.7,,,,,,,,
Andorra,470,83810,,11.1,,21.3,,70.5,,10.4,,
Angola,1246700,18020668,10972,43.3,,6.8,2,3.1,1,42.9,2.5,47
Antigua and Barbuda,440,86634,,69.5,,11,,75,,,,
Argentina,2736690,39882980,76359,8.0,,13.7,0.5,28.1,2,17.3,10.5,75.3
Armenia,28480,3077087,2997,36.1,16.1,7.2,0.1,6.2,1,15.3,11.6,73.5
Aruba,180,105455,,53.2,,,,22.8,,11.7,9.2,74.7
Australia,7682300,21431800,130113,11.3,7.7,17.1,0.1,70.8,3,13.8,13.4,81.4
Austria,82450,8336926,33246,32.8,2.4,15.8,0.3,72.9,3,9.3,17,80.2
Azerbaijan,82620,8680100,13367,48.1,22.9,2.5,0.1,28.2,1,17.8,6.8,70.2
"Bahamas, The",10010,337668,,16.3,,13.1,3.1,31.5,,16.7,6.6,73.5
Bahrain,760,775585,9226,11.5,15.6,10.3,,51.9,3,18,2.3,75.9
Bangladesh,130170,160000128,27944,72.9,10.8,7.4,0.1,0.3,1,21.4,3.8,66.1
Barbados,430,255203,,60.2,,10.8,1.3,,,11.2,10.2,77
Belarus,202900,9680850,28145,26.5,4.3,8.2,0.2,32.1,2,11.1,13.8,70.5
Belgium,30280,10708433,58583,2.6,2.7,14.8,0.2,70.5,3,11.7,17.2,80.4
Belize,22810,322100,,48.3,,10.8,2.4,10.6,,24.7,4.1,76.3
Benin,110620,8662086,3005,58.8,6.8,8.8,1.2,1.8,1,39.4,3.2,61.4
Bermuda,50,64200,,0.0,,,,79.4,,12.5,,79
Bhutan,38390,686789,,65.5,,13,0.2,6.6,,21.5,4.7,66.1
Bolivia,1083300,9694113,5694,34.4,,8.2,0.2,10.8,1,27.1,4.7,65.7
Bosnia and Herzegovina,51200,3773100,5990,52.6,3.4,14,,34.7,1,9.1,13.8,75.1
Botswana,566730,1921122,2117,40.4,,16.6,24.9,6.2,1,24.5,3.7,54.2
Brazil,8459420,191971506,248528,14.4,5.9,6,,37.5,1,16.2,6.6,72.4
Brunei Darussalam,5270,392280,3629,25.2,,7,,68,3,19.8,3.3,77.4
Bulgaria,108610,7623395,19779,28.9,7.9,11.2,0.1,39.5,2,10.2,17.3,73
